confederacy_government;Confederacy;;;;;;;;;;;;;x
confederacy_government_desc;A confederacy is based upon feudal government, featuring a loose association of autonomous rulers under the banner of a single individual. Unlike feudal government, a confederacy is never intended to be centralized, and only Elective Succession is allowed. A confederate ruler does not control their vassal levies, and must instead call them to war to fight on their behalf.;;;;;;;;;;;;;x
imperial_commune_government;Imperial Commune;;;;;;;;;;;;;x
imperial_commune_government_desc;The Imperial Commune form of government is an oligarchial form of feudal elective government established by some of the Imperial City's most powerful families in the wake of the Potentate's collapse and the chaos the ensued. It's primary purpose is to protect the Imperial Isle and the interests of it's rulers. It claims to derive power from the vestiges of the defunct Elder Council, an institution of the former Empire.;;;;;;;;;;;;;x
reformed_imperial_commune_government;Imperial Republic;;;;;;;;;;;;;x
reformed_imperial_commune_government_desc;The Imperial Republic form of government is a more centralized and stable form of the Imperial Commune, having been brought back from the brink of death and nursed back to become stronger than ever. While still privy to the machinations of the various noble houses of the Imperial Province, the ruler is a far more respected figure with much more sway and power than in the erstwhile Commune. The seat of Emperors is within your grasp!;;;;;;;;;;;;;x
mane_government;Mane;;;;;;;;;;;;;x
mane_government_desc;The Mane's system of government follows most of the fundamentals of feudalism, but contains several caveats due to the Mane's unique status as a secular and religious ruler. The Mane may hold temples at no penalty, and is permitted to have concubines. Whenever the Mane dies, a new Mane - always a male Khajiit, newly born under a unique alignment of the Moons - is selected.;;;;;;;;;;;;;x
matriarchy_government;Tsaesci Matriarchy;;;;;;;;;;;;;x
matriarchy_government_desc;Tsaesci matriarchy closely resembles feudal government and depends upon a contract between liege and vassal, but as its name indicates, it is dominated by females. Only females are allowed to inherit matriarchies, and while it is not unheard of for a male to control a matriarchy, they will draw the ire of vassal matriarchs for violating the conventions of this system.;;;;;;;;;;;;;x
orsimer_government;Code of Malacath;;;;;;;;;;;;;x
orsimer_government_desc;Orcish government is fundamentally similar to feudal government, with chieftains who rule from strongholds and maintain vassals. However, there are many influences from the Code of Malacath that set this system apart. Only males may inherit titles, and may keep multiple wives. They also rule for life, with the eldest or most powerful son inheriting, but can be (and frequently are) challenged by offspring, relatives or vassals who may slay them in personal combat for their titles. The laws of the land are determined solely by the ruler, not by vote, but can only be changed if the ruler is prestigious and respected. Since Orcish rulers follow only the Code of Malacath, their personal whims and the rules laid down by their overlords, they ignore the laws set by outlander governments--even if one of those is their liege.;;;;;;;;;;;;;x
roman_imperial_government;Imperial;;;;;;;;;;;;;x
roman_imperial_government_desc;The Empire is run through a more bureaucratic form of government than pure feudalism. While the relation between the Ruby Throne and its subjects is still critical, far more power is reserved to ensure the efficient administration of the Empire. As a result of this, however, the bureaucracy itself can stand as an opponent to any ambitious Emperors.;;;;;;;;;;;;;x
gov_colovian_confederacy;Confederacy of the Colovian Estates;;;;;;;;;;;;;x
gov_confederacy;[PrimaryTitle.GetAdjective] Confederacy;;;;;;;;;;;;;x
gov_imperial_commune;Imperial Commune;;;;;;;;;;;;;x
gov_imperial_commune_reformed;Imperial Republic;;;;;;;;;;;;;x
gov_cyrodilic_empire;Cyrodilic Empire;;;;;;;;;;;;;x
gov_tamrielic_empire;Tamrielic Empire;;;;;;;;;;;;;x
gov_hereditary_absolute_autocracy_orsimer;Hereditary Absolute Imperial Autocracy;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_orsimer;Hereditary Absolute [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_orsimer;Hereditary Aristocratic Imperial Autocracy;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_orsimer;Hereditary Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_orsimer;Hereditary Despotic Imperial Autocracy;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_orsimer;Hereditary Despotic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_absolute_autocracy_tsaesci;Elective Absolute Imperial Autocracy;;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_tsaesci;Elective Absolute [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_tsaesci;Elective Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_aristocratic_autocracy_tsaesci;Elective Aristocratic Imperial Autocracy;;;;;;;;;;;;;x
gov_electorial_despotic_autocracy_tsaesci;Elective Despotic Imperial Autocracy;;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_tsaesci;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_absolute_autocracy_tsaesci;Hereditary Absolute Imperial Autocracy;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_tsaesci;Hereditary Absolute [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_tsaesci;Hereditary Aristocratic Imperial Autocracy;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_tsaesci;Hereditary Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_tsaesci;Hereditary Despotic Imperial Autocracy;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_tsaesci;Hereditary Despotic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_khajiit_mane;Theocratic Riddle'Thar [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_elven_ceremoniarchy;Elven Ceremoniarchy;;;;;;;;;;;;;x
gov_maormer_divine_autocracy;Divine Autocracy;;;;;;;;;;;;;x
gov_hagraven_coven;Hagraven Coven;;;;;;;;;;;;;x
gov_briarheart_clan;Briarheart Clan;;;;;;;;;;;;;x
gov_dunmeri_house;Dunmeri House;;;;;;;;;;;;;x
gov_chimeri_house;Chimeri House;;;;;;;;;;;;;x
gov_dunmeri_great_house;Dunmeri Great House;;;;;;;;;;;;;x
gov_chimeri_great_house;Chimeri Great House;;;;;;;;;;;;;x
gov_undead_horde;Undead Horde;;;;;;;;;;;;;x
law_vassalage;Vassalage;;;;;;;;;;;;;x
law_vassalage_desc;Vassalage laws determine the nature of the relationship between a liege and their vassals.;;;;;;;;;;;;;x
vassalage_law_1;Confed;;;;;;;;;;;;;x
vassalage_law_1_desc;Confederate vassalage represents a vassal-liege relationship much like that of the Colovian Estates. The realm shall be restricted to Elective succession, and vassals do not provide levies, instead being called to arms.;;;;;;;;;;;;;x
vassalage_law_0;Feudal;;;;;;;;;;;;;x
vassalage_law_0_desc;Feudalism tightens the relationship between liege and vassal. Vassals must provide levy soldiers to their liege, regardless of their disposition to go to war, and the realm is not limited to Elective succession.;;;;;;;;;;;;;x
#custgovts.desc.101;As of late you have been thinking about your right to rule. Your father, while he has managed to hold the realm together, is not the ruler that you could be. As a servant of Malacath, it is your right to challenge him for his rulership.;;;;;;;;;;;;;x
#custgovts.a.101;His throne shall be mine!;;;;;;;;;;;;;x
#custgovts.b.101;Perhaps I should bide my time...;;;;;;;;;;;;;x
#custgovts.desc.102;Your son [From.GetTitledFirstName] has had the insolence to challenge you for the right to rule before your court. He has come armed and with his followers, and you are sure that there are very few ways that this situation can end.;;;;;;;;;;;;;x
#custgovts.a.102;I shall slay the brat in personal combat!;;;;;;;;;;;;;x
#custgovts.b.102;The time of my rule has ended.;;;;;;;;;;;;;x
#custgovts.desc.103;Your father has decided to surrender the throne to you without combat. While his name is disgraced, you are now the sole overlord of your land.;;;;;;;;;;;;;x
#custgovts.a.103;It's good to be [Root.GetTitle].;;;;;;;;;;;;;x
#custgovts.desc.104;Your father has taken up your challenge and preparations for the duel commence.;;;;;;;;;;;;;x
#custgovts.a.104;For Malacath!;;;;;;;;;;;;;x
#custgovts.desc.challenger.108;After a long battle, you have finally brought your father to his knees. The crowd falls silent just before you deal the final blow.;;;;;;;;;;;;;x
#custgovts.desc.opponent.108;You quickly prove to be the mightier combatant in the duel. You slowly pick away at your son's defences before he lies helpless at your feet. His followers fall silent as you deal the killing blow.;;;;;;;;;;;;;x
#custgovts.a.108;Only the strongest may rule!;;;;;;;;;;;;;x
#custgovts.b.108;Only the strongest may rule!;;;;;;;;;;;;;x
#custgovts.desc.challenger.109;You fight desperately for your life, but your father proves to be the better. Eventually, you are left battered and bloodied at his feet. While you lie there helpless, he deals the killing blow.;;;;;;;;;;;;;x
#custgovts.desc.opponent.109;You son deals blows after blow after blow against you. You tire quickly, and before you know it, you see the final strike coming towards you...;;;;;;;;;;;;;x
#custgovts.a.109;I go to Malacath.;;;;;;;;;;;;;x
custgovts.100.desc;My [GetFromRelation], [From.GetTitledFirstName], has had the audacity to question my right to rule our people before the entire court. The Code of Malacath demands that I fight with honor, but given my authority, I may be able to postpone the duel indefinitely.;;;;;;;;;;;;;x
custgovts.100.accept;We will see who is worthy to lead our people!;;;;;;;;;;;;;x
custgovts.100.refuse;Your time has not come.;;;;;;;;;;;;;x
custgovts.101;[From.GetBestName] has accepted my challenge of [From.GetHerHis] right to rule. The most prominent warriors in the realm are gathering to witness our combat.;;;;;;;;;;;;;x
custgovts.101.fight;May the strongest prevail.;;;;;;;;;;;;;x
custgovts.102.desc;[From.GetBestName] has refused my challenge of [From.GetHerHis] leadership, stating that I am not yet ready to lead. While I may not be able to demand rulership just yet, many warriors were visibly outraged by [From.GetHerHis] cowardice.;;;;;;;;;;;;;x
custgovts.102.pathetic;That coward thinks I am not worthy leadership?;;;;;;;;;;;;;x
HFP.10103.desc.orsimer;[other_combatant.GetTitledFirstName] and I circle each other for a short while. Without warning, [other_combatant.GetSheHe] springs at me with a loud roar. After several minutes of vigorous clashing, [From.GetSheHe] is barely able to keep hold of their weapon, which rises to block my final strike just a moment too late.;;;;;;;;;;;;;x
HFP.10103.kill.true_orsimer;No one bests a real orc!;;;;;;;;;;;;;x
HFP.10103.kill.orsimer;No one bests an orc!;;;;;;;;;;;;;x
HFP.10103.spare;Step down and I will spare you.;;;;;;;;;;;;;x
HFP.10104.accept;I still have time to redeem myself.;;;;;;;;;;;;;x
HFP.10104.refuse;I must pay the Blood Price.;;;;;;;;;;;;;x
